candidate,calendar_start,calendar_end_exclusive,signals,mean_signals_per_week,median_signals_per_week,mean_signals_per_month,median_signals_per_month,weeks,months,zero_signal_weeks,zero_signal_months
BREAKOUT_RETEST_CONTINUATION__LONG,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,91,0.3939393939393939,0.0,1.7169811320754718,1.0,231,53,162,13
BREAKOUT_RETEST_CONTINUATION__SHORT,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,116,0.5021645021645021,0.0,2.188679245283019,2.0,231,53,159,7
CHANDELIER_TIME_SERIES_MOMENTUM__LONG,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,146,0.6320346320346321,0.0,2.7547169811320753,2.0,231,53,146,9
CHANDELIER_TIME_SERIES_MOMENTUM__SHORT,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,171,0.7402597402597403,0.0,3.2264150943396226,3.0,231,53,129,5
DIRECTIONAL_RANGE_EXPANSION__LONG,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,110,0.47619047619047616,0.0,2.0754716981132075,2.0,231,53,159,10
DIRECTIONAL_RANGE_EXPANSION__SHORT,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,110,0.47619047619047616,0.0,2.0754716981132075,2.0,231,53,160,10
RANGE_EXTREME_REVERSION__LONG,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,96,0.4155844155844156,0.0,1.8113207547169812,2.0,231,53,155,4
RANGE_EXTREME_REVERSION__SHORT,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,77,0.3333333333333333,0.0,1.4528301886792452,1.0,231,53,170,14
TREND_PULLBACK_RESUMPTION__LONG,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,200,0.8658008658008658,0.0,3.7735849056603774,3.0,231,53,128,4
TREND_PULLBACK_RESUMPTION__SHORT,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,257,1.1125541125541125,1.0,4.849056603773585,5.0,231,53,107,5
VOLATILITY_COMPRESSION_EXPANSION__LONG,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,97,0.4199134199134199,0.0,1.830188679245283,1.0,231,53,159,11
VOLATILITY_COMPRESSION_EXPANSION__SHORT,2022-01-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,100,0.4329004329004329,0.0,1.8867924528301887,2.0,231,53,161,13
